SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-6-2017,propertytype:Condo/Co-op,USD256000,0,1.0,500,NA,1982,399,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/5500-Friendship-Blvd-20815/unit-820N/home/129808296,MRIS,MC9978897,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-21-2017,propertytype:Condo/Co-op,USD329999,2,2.0,1336,NA,1980,987,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/5101-River-Rd-20816/unit-815/home/10690159,MRIS,MC9990688,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-26-2017,propertytype:Condo/Co-op,USD258000,1,1.5,1030,NA,1982,713,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/5500-Friendship-Blvd-20815/unit-1826N/home/10694366,MRIS,MC9908710,N,Y,"Wednesday- Sep 20, 2017"
PAST SALE,September-11-2017,propertytype:Condo/Co-op,USD215000,2,1.0,1152,NA,1973,672,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/7501-Democracy-Blvd-20817/unit-B223/home/10912582,MRIS,MC10016693,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-12-2017,propertytype:Condo/Co-op,USD190000,1,1.0,841,NA,1983,416,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/7401-Westlake-Ter-20817/unit-1406/home/10914190,MRIS,MC9973101,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-5-2017,propertytype:Condo/Co-op,USD225000,0,1.0,456,NA,1982,363,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/5500-Friendship-Blvd-20815/unit-1524N/home/143703061,MRIS,MC10007969,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-8-2017,propertytype:Condo/Co-op,USD255000,1,1.0,923,NA,1975,941,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/4601-N-Park-Ave-20815/unit-409-J/home/143070653,MRIS,MC9965462,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD412000,NA,NA,1410,NA,1973,NA,,NA,NA,http://www.redfin.com/MD/Bethesda/4924-Sentinel-Dr-20816/unit-2-404/home/10682061,,,N,Y,NA
PAST SALE,September-7-2017,propertytype:Condo/Co-op,USD335000,1,1.0,535,NA,2007,344,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/7500-Woodmont-Ave-20814/unit-S409/home/11760142,MRIS,MC10007395,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD739000,2,2.0,1506,6000,1923,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/5009-Greenway-Dr-20816/home/10687291,MRIS,MC10009874,N,Y,"Friday- Aug 11, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD245000,0,1.0,1077,NA,1981,NA,,NA,NA,http://www.redfin.com/MD/Bethesda/10600-Weymouth-St-20814/unit-W-103/home/10535901,,,N,Y,NA
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD262000,1,1.5,967,NA,1975,1082,Sold,NA,NA,http://www.redfin.com/MD/Chevy-Chase/4601-N-Park-Ave-20815/unit-720-V/home/113897734,MRIS,MC9929908,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD310000,1,1.0,618,NA,1990,438,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/4801-Fairmont-Ave-20814/unit-812/home/11211029,MRIS,MC10065833,N,Y,"Tuesday- Sep 26, 2017"
