SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-18-2017,propertytype:Condo/Co-op,USD274000,1,1.0,820,NA,2005,330,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/8045-Newell-St-20910/unit-513/home/11207829,MRIS,MC9899178,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD375000,2,2.0,1221,NA,2014,363,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/3850-Clara-Downey-Ave-20906/unit-33/home/108439564,MRIS,MC10039359,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD315000,2,2.0,1207,NA,2016,246,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/3910-Doc-Berlin-Dr-20906/unit-14/home/104458775,MRIS,MC9977684,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-8-2017,propertytype:Condo/Co-op,USD72000,0,1.0,410,NA,1982,282,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1111-University-Blvd-W-20902/unit-701A/home/11117049,MRIS,MC10033516,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD219000,NA,NA,1047,NA,1974,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/2115-Walsh-View-Ter-20902/unit-8-203/home/11097420,,,N,Y,NA
PAST SALE,,propertytype:Townhouse,USD360000,NA,NA,493,3402,1955,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/2619-Holman-Ave-20910/unit-2619/home/11096948,,,N,Y,NA
PAST SALE,,propertytype:Condo/Co-op,USD150000,NA,NA,946,NA,1996,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/14809-Pennfield-Cir-20906/unit-105/home/11145418,,,N,Y,NA
PAST SALE,September-8-2017,propertytype:Condo/Co-op,USD299000,1,1.0,776,NA,2006,354,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-233/home/22040650,MRIS,MC10004364,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-11-2017,propertytype:Single Family Residential,USD300000,2,1.0,832,5986,1936,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/508-Silver-Spring-Ave-20910/home/10953746,MRIS,MC9971180,N,Y,"Monday- Aug 21, 2017"
PAST SALE,,propertytype:Townhouse,USD280000,NA,2.5,1152,1563,1976,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/9019-Glenville-Rd-20901/home/11099169,,,N,Y,NA
PAST SALE,September-6-2017,propertytype:Townhouse,USD229000,2,1.5,997,NA,1983,135,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/13939-Palmer-House-Way-20904/unit-28-207/home/10589201,MRIS,MC10004525,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-5-2017,propertytype:Condo/Co-op,USD185000,2,2.0,1087,NA,1989,389,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/13609-Sir-Thomas-Way-20904/unit-34/home/10602040,MRIS,MC10024779,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-8-2017,propertytype:Condo/Co-op,USD320000,1,1.0,870,NA,2006,375,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-144/home/21658965,MRIS,MC9927949,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD309000,1,1.0,788,NA,2006,354,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-415/home/21512204,MRIS,MC10022674,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD270000,NA,NA,1254,NA,2008,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/10851-Amherst-Ave-20902/unit-1/home/12450681,,,N,Y,NA
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD205000,1,1.0,696,NA,1948,433,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/8329-Grubb-Rd-20910/unit-G-102/home/100218444,MRIS,MC10020019,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD147000,1,1.0,838,NA,1974,411,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2305-Greenery-Ln-20906/unit-204-3/home/143414838,MRIS,MC10039492,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-14-2017,propertytype:Condo/Co-op,USD230000,2,2.0,1520,NA,1984,710,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/15101-Interlachen-Dr-20906/unit-1-904/home/113887319,MRIS,MC9940547,N,Y,"Sunday- Aug 27, 2017"
