URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/VA/Arlington/2317-N-Edison-St-22207/home/11235994,2317 Edison St N,'222070000,38.8976214&-77.1305146,"Arlington, Virginia",Garden City
http://www.redfin.com/VA/Arlington/4786-Williamsburg-Blvd-22207/home/11229112,4786 Williamsburg Blvd,'222070000,38.9135617&-77.1375019,"Arlington, Virginia",Country Club Manors
http://www.redfin.com/VA/Arlington/4800-21st-St-N-22207/home/11234545,4800 21st St N,'222070000,38.8947136&-77.12391,"Arlington, Virginia",Glebewood Village
http://www.redfin.com/VA/Arlington/2066-N-Oakland-St-22207/home/11279131,2066 Oakland St N,'222070000,38.89578&-77.106558,"Arlington, Virginia",Bromptons At Cherrydale
http://www.redfin.com/VA/Arlington/3011-13th-St-S-22204/home/11273776,3011 13th St S,'222040000,38.8599035&-77.0879477,"Arlington, Virginia",Douglas Park
http://www.redfin.com/VA/Arlington/2221-S-Dinwiddie-St-22206/home/11265800,2221 Dinwiddie St,'222060000,38.8444131&-77.1067469,"Arlington, Virginia",Claremont
http://www.redfin.com/VA/Arlington/744-S-Granada-St-22204/home/11259626,744 Granada St,'222040000,38.858136&-77.119027,"Arlington, Virginia",Antn Mews
http://www.redfin.com/VA/Arlington/2412-N-Greenbrier-Ct-22207/home/11228077,2412 Greenbrier Ct N,'222070000,38.896878&-77.13658,"Arlington, Virginia",Arlington
http://www.redfin.com/VA/Arlington/2509-S-Kenwood-St-22206/home/11272264,2509 Kenwood St,'222060000,38.8467551&-77.0844842,"Arlington, Virginia",Shirlington
http://www.redfin.com/VA/Arlington/1313-S-Quincy-St-22204/home/11263698,1313 Quincy St S,'222040000,38.8566266&-77.0973741,"Arlington, Virginia",Douglas Park
http://www.redfin.com/VA/Arlington/1904-S-Randolph-St-22204/home/11264387,1904 Randolph St,'222040000,38.8505601&-77.0964985,"Arlington, Virginia",Douglas Park
