SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD280000,2,1.0,1055,NA,1964,584,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1830-Columbia-Pike-22204/unit-205/home/11272669,MRIS,AR9928984,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-6-2017,propertytype:Condo/Co-op,USD405000,2,2.0,1030,NA,1966,392,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4139-S-Four-Mile-Run-Dr-22204/unit-204/home/21971541,MRIS,AR10019137,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-19-2017,propertytype:Condo/Co-op,USD510000,2,2.0,1209,NA,2006,551,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-432W/home/12042691,MRIS,AR9926090,N,Y,"Wednesday- Sep 06, 2017"
PAST SALE,September-29-2017,propertytype:Condo/Co-op,USD395000,2,2.0,1135,NA,1966,445,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4141-S-Four-Mile-Run-Dr-22204/unit-103/home/23385384,MRIS,AR10037560,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-25-2017,propertytype:Condo/Co-op,USD339900,2,1.0,930,NA,1983,345,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2909-S-Woodley-St-22206/unit-116-13/home/11267504,MRIS,AR10037567,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-12-2017,propertytype:Condo/Co-op,USD415000,2,2.5,1606,NA,1976,911,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1101-S-Arlington-Ridge-Rd-22202/unit-106/home/11274704,MRIS,AR9812459,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-7-2017,propertytype:Condo/Co-op,USD319000,2,1.0,800,NA,1950,300,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2831-S-Wakefield-St-22206/unit-D/home/11267147,MRIS,AR10012918,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-8-2017,propertytype:Condo/Co-op,USD505000,2,2.0,1164,NA,2006,505,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-317W/home/12042626,MRIS,AR9932245,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD357500,2,2.0,1253,NA,1965,754,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-509/home/11275106,MRIS,AR9992144,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD570000,2,2.0,1009,NA,1998,552,Sold,NA,NA,http://www.redfin.com/VA/Arlington/901-N-Monroe-St-22201/unit-1008/home/11278119,MRIS,AR10004072,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD310000,2,2.0,1152,NA,2005,560,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-514/home/11281906,MRIS,AR10013805,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD312500,1,1.0,851,NA,1973,549,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4141-N-Henderson-Rd-22203/unit-804/home/11257352,MRIS,AR10014359,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Townhouse,USD464000,2,2.5,1296,NA,1981,358,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2119-N-Monroe-St-22207/unit-3/home/11233188,MRIS,AR10024098,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-13-2017,propertytype:Condo/Co-op,USD1700000,2,2.5,1922,NA,2012,605,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1700-N-Clarendon-Blvd-22209/unit-117/home/49797926,MRIS,AR9983747,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD613000,2,1.0,1652,3572,1937,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4020-20th-St-N-22207/home/11233933,MRIS,AR9989911,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD365000,2,1.0,796,NA,1987,NA,,NA,NA,http://www.redfin.com/VA/Arlington/2050-N-Calvert-St-22201/unit-408/home/11279735,,,N,Y,NA
PAST SALE,September-14-2017,propertytype:Condo/Co-op,USD200000,0,1.0,480,NA,1964,362,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2030-N-Adams-St-22201/unit-1210/home/11247033,MRIS,AR10016081,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-7-2017,propertytype:Condo/Co-op,USD325000,0,1.0,532,NA,2006,323,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2001-15th-St-N-22201/unit-413/home/12041203,MRIS,AR9956988,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-12-2017,propertytype:Townhouse,USD295000,1,1.0,840,NA,1939,328,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1110-S-Barton-St-22204/unit-309/home/11272883,MRIS,AR9994260,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD460000,1,1.0,738,NA,2007,349,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1020-N-Highland-St-22201/unit-707/home/16897789,MRIS,AR10029443,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD349000,2,1.0,904,NA,1959,530,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3000-Spout-Run-Pkwy-22201/unit-B601/home/11247275,MRIS,AR10003815,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD874900,2,2.5,1800,NA,2010,NA,,NA,NA,http://www.redfin.com/VA/Arlington/1811-14th-St-N-22209/unit-103/home/28681872,,,N,Y,NA
PAST SALE,September-18-2017,propertytype:Condo/Co-op,USD280000,2,1.5,962,NA,1964,726,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2030-N-Adams-St-22201/unit-606/home/11246960,MRIS,AR10030734,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-15-2017,propertytype:Townhouse,USD370000,2,1.0,1103,NA,1979,50,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3121-17th-St-S-22204/home/11273756,MRIS,AR10029790,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD385000,1,1.0,935,NA,1987,NA,,NA,NA,http://www.redfin.com/VA/Arlington/1600-N-Oak-St-22209/unit-728/home/11251057,,,N,Y,NA
PAST SALE,,propertytype:Condo/Co-op,USD380000,1,1.0,818,NA,2006,NA,,NA,NA,http://www.redfin.com/VA/Arlington/2720-S-Arlington-Mill-Dr-22206/unit-306/home/12042353,,,N,Y,NA
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD228000,1,1.0,826,NA,1990,400,Sold,NA,NA,http://www.redfin.com/VA/Alexandria/3313-Wyndham-Cir-22302/unit-4205/home/11876786,MRIS,AX9987264,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD388000,2,2.0,1383,NA,1944,387,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4805-28th-St-S-22206/home/11267825,MRIS,AR9922995,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD315000,2,1.0,810,NA,1950,287,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4646-28th-Rd-S-22206/unit-A/home/11267036,MRIS,AR10022166,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-22-2017,propertytype:Condo/Co-op,USD382000,2,1.0,912,NA,1983,335,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2600-S-Arlington-Mill-Dr-22206/unit-C/home/142975846,MRIS,AR10012478,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-21-2017,propertytype:Townhouse,USD415000,1,2.0,1400,NA,1940,320,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4323-35th-St-S-22206/home/11270394,MRIS,AR9998251,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-15-2017,propertytype:Condo/Co-op,USD320000,1,1.0,669,NA,2006,323,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3650-S-Glebe-Rd-22202/unit-148/home/16896939,MRIS,AR10029270,N,Y,"Tuesday- Aug 29, 2017"
