URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/MD/Silver-Spring/8045-Newell-St-20910/unit-513/home/11207829,8045 Newell St #513,'209100000,38.9887123&-77.0292804,"Silver Spring, MD",8045 At Silver Spring Me
http://www.redfin.com/MD/Silver-Spring/3850-Clara-Downey-Ave-20906/unit-33/home/108439564,3850 Clara Downey Ave #33,'209060000,39.113585&-77.0724454,"Silver Spring, MD",Norbeck Crossing
http://www.redfin.com/MD/Silver-Spring/3910-Doc-Berlin-Dr-20906/unit-14/home/104458775,3910 Doc Berlin Dr #14,'209060000,39.1143456&-77.0727028,"Silver Spring, MD",Norbeck Crossing
http://www.redfin.com/MD/Silver-Spring/1111-University-Blvd-W-20902/unit-701A/home/11117049,1111 University Blvd Unit 701-A,'209020000,39.0371309&-77.0272102,"Silver Spring, MD",University Towers Codm
http://www.redfin.com/MD/Silver-Spring/2115-Walsh-View-Ter-20902/unit-8-203/home/11097420,2115 Walsh View Ter Unit 8-203,'209020000,39.0171396&-77.0454087,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/2619-Holman-Ave-20910/unit-2619/home/11096948,2619 Holman Ave #2619,'209100000,39.0157189&-77.0549321,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/14809-Pennfield-Cir-20906/unit-105/home/11145418,14809 Pennfield Cir Apt 105,'209060000,39.1009432&-77.0759286,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-233/home/22040650,1201 East West Hwy #233,'209100000,38.98993&-77.0289,"Silver Spring, MD",Silverton Codm
http://www.redfin.com/MD/Silver-Spring/508-Silver-Spring-Ave-20910/home/10953746,508 Silver Spring Ave,'209100000,38.9927143&-77.0127786,"Silver Spring, MD",Blair
http://www.redfin.com/MD/Silver-Spring/9019-Glenville-Rd-20901/home/11099169,9019 Glenville Rd,'209010000,39.0034411&-76.9970254,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/13939-Palmer-House-Way-20904/unit-28-207/home/10589201,13939 Palmer House Way Unit 28-207,'209040000,39.0820021&-76.9343428,"Silver Spring, MD",Greencastle Man #2 Codm
http://www.redfin.com/MD/Silver-Spring/13609-Sir-Thomas-Way-20904/unit-34/home/10602040,13609 Sir Thomas Way #34,'209040000,39.0812753&-76.9371613,"Silver Spring, MD",The Vineyards Codm
http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-144/home/21658965,1201 East West Hwy #144,'209100000,38.98993&-77.0289,"Silver Spring, MD",Silverton Codm
http://www.redfin.com/MD/Silver-Spring/1201-East-West-Hwy-20910/unit-415/home/21512204,1201 East West Hwy #415,'209100000,38.98993&-77.0289,"Silver Spring, MD",Silverton Codm
http://www.redfin.com/MD/Silver-Spring/10851-Amherst-Ave-20902/unit-1/home/12450681,10851 Amherst Ave Apt 1,'209020000,39.0335148&-77.0464009,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/8329-Grubb-Rd-20910/unit-G-102/home/100218444,8329 Grubb Rd Unit G-102,'209100000,38.9930475&-77.0507911,"Silver Spring, MD",Rock Creek Apts Codm 1
http://www.redfin.com/MD/Silver-Spring/2305-Greenery-Ln-20906/unit-204-3/home/143414838,2305 Greenery Ln Unit 204-3,'209060000,39.0614875&-77.0506053,"Silver Spring, MD",Glenwaye Gardens
http://www.redfin.com/MD/Silver-Spring/15101-Interlachen-Dr-20906/unit-1-904/home/113887319,15101 Interlachen Dr Unit 1-904,'209060000,39.1033684&-77.0689049,"Silver Spring, MD",The Grns At Leisure Wrld
http://www.redfin.com/MD/Silver-Spring/15107-Interlachen-Dr-20906/unit-2-618/home/11128243,15107 Interlachen Dr Unit 2-618,'209060000,39.1046277&-77.0678277,"Silver Spring, MD",The Grns At Leisure Wrld
http://www.redfin.com/MD/Silver-Spring/15100-Glade-Dr-20906/unit-11-1F/home/11100738,15100 Glade Dr Unit 11-1F,'209060000,39.1036476&-77.0720177,"Silver Spring, MD",Rossmoor Mutual #14
http://www.redfin.com/MD/Silver-Spring/3200-N-Leisure-World-Blvd-20906/unit-309/home/11193694,3200 Leisure World Blvd #309,'209060000,39.1074115&-77.0660397,"Silver Spring, MD",Vantage Point East @ Lei
http://www.redfin.com/MD/Silver-Spring/3972-Bel-Pre-Rd-20906/unit-7/home/11095294,3972 Bel Pre Rd #7,'209060000,39.093713&-77.0775469,"Silver Spring, MD",Grand Bel
http://www.redfin.com/MD/Silver-Spring/3376-Chiswick-Ct-20906/unit-52-1B/home/28961977,3376 Chiswick Ct Unit 52-1B,'209060000,39.0982635&-77.0682094,"Silver Spring, MD",Montgomery Mutual Coop
http://www.redfin.com/MD/Silver-Spring/3378-Chiswick-Ct-20906/unit-52-1H/home/28961969,3378 Chiswick Ct Unit 52-1H,'209060000,39.0982394&-77.0682643,"Silver Spring, MD",Montgomery Mutual Coop
http://www.redfin.com/MD/Silver-Spring/3100-N-Leisure-World-Blvd-20906/unit-316/home/11205811,3100 N Leisure World Blvd Apt 316,'209060000,39.1056336&-77.0640465,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/3124-Beckenham-Ct-20906/unit-250-G/home/11091562,3124 Beckenham Ct Unit 250-G,'209060000,39.1001055&-77.0633908,"Silver Spring, MD",
http://www.redfin.com/MD/Silver-Spring/8914-16th-St-20910/unit-8914/home/11096747,8914 16th St #8914,'209100000,39.0020304&-77.0405735,"Silver Spring, MD",Woodside Village
