URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/MD/Bethesda/9719-Corkran-Ln-20817/home/10676141,9719 Corkran Ln,'208170000,39.0161156&-77.1370236,"Bethesda, MD",Stratton Woods
http://www.redfin.com/MD/Bethesda/8641-Terrace-Garden-Way-20814/home/10701751,8641 Terrace Garden Way,'208140000,38.9966011&-77.0955066,"Bethesda, MD",Glenbrook Village
http://www.redfin.com/MD/Bethesda/5300-Burling-Ter-20814/home/10639182,5300 Burling Ter,'208140000,38.9823432&-77.1087608,"Bethesda, MD",Bradley Hills
http://www.redfin.com/MD/Bethesda/9000-Honeybee-Ln-20817/home/10890095,9000 Honeybee Ln,'208170000,39.001196&-77.162481,"Bethesda, MD",Charred Oak Estates
http://www.redfin.com/MD/Bethesda/6812-Renita-Ln-20817/home/10675994,6812 Renita Ln,'208170000,39.0137159&-77.1378467,"Bethesda, MD",Stratton Woods
http://www.redfin.com/MD/Glen-Echo/6005-Princeton-Ave-20812/home/10649272,6005 Princeton Ave,'208120000,38.9679038&-77.1414153,"Glen Echo, MD",Glen Echo
http://www.redfin.com/MD/Bethesda/8100-Lilly-Stone-Dr-20817/home/10889503,8100 Lilly Stone Dr,'208170000,38.986465&-77.1637462,"Bethesda, MD",Carderock Springs
http://www.redfin.com/MD/Bethesda/6205-Verne-St-20817/home/10676428,6205 Verne St,'208170000,38.9747645&-77.1261738,"Bethesda, MD",Country Club Village/ Merrimack Park
http://www.redfin.com/MD/Bethesda/9001-Seven-Locks-Rd-20817/home/10887561,9001 Seven Locks Rd,'208170000,39.002544&-77.1593199,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/8904-Seven-Locks-Rd-20817/home/10889724,8904 Seven Locks Rd,'208170000,38.9999302&-77.1603347,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/6106-Davenport-Ter-20817/home/10691760,6106 Davenport Ter,'208170000,38.971489&-77.13061,"Bethesda, MD",Mass Ave Forest
http://www.redfin.com/MD/Chevy-Chase/4620-N-Park-Ave-20815/unit-307W/home/10683599,4620 Park Ave Unit 307W,'208150000,38.9630812&-77.0926644,"Chevy Chase, MD",4620 North Park Ave
http://www.redfin.com/MD/Bethesda/6678-Hillandale-Rd-20815/unit-35/home/10688928,6678 Hillandale Rd #35,'208150000,38.9739434&-77.0996992,"Chevy Chase, MD",Kenwood Forest Ii
http://www.redfin.com/MD/Bethesda/5812-Marbury-Rd-20817/home/10668848,5812 Marbury Rd,'208170000,38.978522&-77.115733,"Bethesda, MD",Kenwood Park
http://www.redfin.com/MD/Bethesda/7171-Woodmont-Ave-20814/unit-501/home/108439258,7171 Woodmont Ave Unit 501,'208140000,38.9800856&-77.0936729,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/5312-Goldsboro-Rd-20817/home/10639160,5312 Goldsboro Rd,'208170000,38.9762516&-77.1069279,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/4925-Crescent-St-20816/unit-B-11/home/10637423,4925 Crescent St Unit B-11,'208160000,38.9546741&-77.0955856,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/4513-Fairfield-Dr-20814/home/10647378,4513 Fairfield Dr,'208140000,38.9961873&-77.0900736,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/5114-Cammack-Dr-20816/home/10680541,5114 Cammack Dr,'208160000,38.9532075&-77.1057988,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/6300-Broad-St-20816/home/10640068,6300 Broad St,'208160000,38.9421287&-77.120439,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/4724-River-Rd-20816/home/10674315,4724 River Rd,'208160000,38.9590613&-77.0954559,"Bethesda, MD",
http://www.redfin.com/MD/Kensington/9601-Culver-St-20895/home/11061937,9601 Culver St,'208950000,39.0099632&-77.0843666,"Kensington, MD",
http://www.redfin.com/MD/Bethesda/6201-Wiscasset-Rd-20816/home/10648355,6201 Wiscasset Rd,'208160000,38.9655036&-77.1251396,"Bethesda, MD",Glen Echo Heights
http://www.redfin.com/MD/Bethesda/8405-Whitman-Dr-20817/home/10670183,8405 Whitman Dr,'208170000,38.9944257&-77.1310225,"Bethesda, MD",Woodhaven
http://www.redfin.com/MD/Bethesda/6214-Greentree-Rd-20817/home/10664150,6214 Greentree Rd,'208170000,39.0012178&-77.127267,"Bethesda, MD",Hillmead
http://www.redfin.com/MD/Bethesda/9414-Wadsworth-Dr-20817/home/10671371,9414 Wadsworth Dr,'208170000,39.0114295&-77.1262141,"Bethesda, MD",Ashburton
http://www.redfin.com/MD/Bethesda/9322-W-Parkhill-Dr-20814/home/10664429,9322 W Parkhill Dr,'208140000,39.0104425&-77.0925067,"Bethesda, MD",Locust Hill Estates
http://www.redfin.com/MD/Bethesda/7000-Greentree-Rd-20817/home/10688056,7000 Greentree Rd,'208170000,39.0110806&-77.1429551,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/6408-Winston-Dr-20817/home/10676406,6408 Winston Dr,'208170000,38.9735651&-77.1306616,"Bethesda, MD",Country Club Village
http://www.redfin.com/MD/Bethesda/7004-Darby-Rd-20817/home/10661606,7004 Darby Rd,'208170000,38.9969252&-77.1426962,"Bethesda, MD",Bradley Hills Grove
http://www.redfin.com/MD/Bethesda/10016-Clue-Ct-20817/home/10675749,10016 Clue Ct,'208170000,39.021457&-77.127286,"Bethesda, MD",Marymount
http://www.redfin.com/MD/Bethesda/6206-E-Halbert-Rd-20817/home/10678615,6206 Halbert Rd,'208170000,38.972394&-77.141104,"Bethesda, MD",Bannockburn Coop
http://www.redfin.com/MD/Bethesda/5619-Glenwood-Rd-20817/home/10674242,5619 Glenwood Rd,'208170000,38.994093&-77.1157209,"Bethesda, MD",Edgewood
http://www.redfin.com/MD/Bethesda/5105-Cape-Cod-Ct-20816/home/10655216,5105 Cape Cod Ct,'208160000,38.9525537&-77.1036124,"Bethesda, MD",Westmoreland Hills
http://www.redfin.com/MD/Bethesda/6311-Marywood-Rd-20817/home/10674473,6311 Marywood Rd,'208170000,39.0097854&-77.1314571,"Bethesda, MD",Green Tree Manor
http://www.redfin.com/MD/Bethesda/9904-Parkwood-Dr-20814/home/10994978,9904 Parkwood Dr,'208140000,39.020227&-77.0973193,"Bethesda, MD",Parkwood
http://www.redfin.com/MD/Bethesda/5414-Blackistone-Rd-20816/home/10655062,5414 Blackistone Rd,'208160000,38.949334&-77.1101187,"Bethesda, MD",Westmoreland Hills
http://www.redfin.com/MD/Bethesda/8719-Burdette-Rd-20817/home/11157945,8719 Burdette Rd,'208170000,38.997935&-77.144708,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/8629-Terrace-Garden-Way-20814/home/10701777,8629 Terrace Garden Way,'208140000,38.9965524&-77.0960179,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/8012-Beech-Tree-Rd-20817/home/10673890,8012 Beech Tree Rd,'208170000,38.9907376&-77.1416281,"Bethesda, MD",Burning Tree Valley
http://www.redfin.com/MD/Bethesda/8017-Glenbrook-Rd-20814/home/10637388,8017 Glenbrook Rd,'208140000,38.9903437&-77.1005008,"Bethesda, MD",Bethesda Out Res. (1)
http://www.redfin.com/MD/Bethesda/6309-Winston-Dr-20817/home/10676370,6309 Winston Dr,'208170000,38.9745876&-77.1293021,"Bethesda, MD",Country Club Village
http://www.redfin.com/MD/Bethesda/7514-Nevis-Rd-20817/home/10667144,7514 Nevis Rd,'208170000,38.9857103&-77.144049,"Bethesda, MD",Bannockburn
http://www.redfin.com/MD/Bethesda/7700-Zulima-Ct-20817/home/10687770,7700 Zulima Ct,'208170000,38.9870697&-77.1527891,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/10135-Ashburton-Ln-20817/home/10671019,10135 Ashburton Ln,'208170000,39.023649&-77.125319,"Bethesda, MD",
http://www.redfin.com/MD/Bethesda/10010-Carter-Rd-20817/home/10888114,10010 Carter Rd,'208170000,39.0211156&-77.1567396,"Bethesda, MD",Ashleigh
