URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-410/home/10347289,2020 12th St NW #410,'200090000,38.9176592&-77.028445,"Washington, DC",Old City #2
http://www.redfin.com/DC/Washington/2611-Adams-Mill-Rd-NW-20009/unit-307/home/10006713,2611 Adams Mill Rd NW #307,'200090000,38.923836&-77.0438469,"Washington, DC",Mount Pleasant
http://www.redfin.com/DC/Washington/3026-Porter-St-NW-20008/unit-104/home/17393598,3026 Porter St NW #104,'200080000,38.9370785&-77.0629819,"Washington, Michigan",Cleveland Park
http://www.redfin.com/DC/Washington/1501-Swann-St-NW-20009/unit-B/home/9868152,1501 Swann St NW Unit B,'200090000,38.9149588&-77.0351675,"Washington, DC",Dupont
http://www.redfin.com/DC/Washington/929-Florida-Ave-NW-20001/unit-4001/home/21644110,929 Florida Ave NW #4001,'200010000,38.918672&-77.0242293,"Washington, DC",Columbia Heights/u St
http://www.redfin.com/DC/Washington/1314-W-St-NW-20009/unit-C/home/10192324,1314 W St NW Unit C,'200090000,38.9190095&-77.0304138,"Washington, Michigan",Old City #2
http://www.redfin.com/DC/Washington/2902-Porter-St-NW-20008/unit-51/home/10190691,2902 Porter St NW #51,'200080000,38.9365947&-77.0595632,"Washington, DC",Cleveland Park
http://www.redfin.com/DC/Washington/1451-Belmont-St-NW-20009/unit-000305/home/11747756,1451 Belmont St NW #305,'200090000,38.9207268&-77.0339589,"Washington, DC",Columbia Heights
http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-915/home/21648156,1441 Rhode Island Ave NW #915,'200050000,38.9085968&-77.0337574,"Washington, DC",Old City #2
http://www.redfin.com/DC/Washington/460-New-York-Ave-NW-20001/unit-204/home/113744256,460 New York Ave NW #204,'200010000,38.9041135&-77.0182669,"Washington, Michigan",Mount Vernon
http://www.redfin.com/DC/Washington/1015-33rd-St-NW-20007/unit-707/home/9923051,1015 33rd St NW #707,'200070000,38.9038172&-77.0656245,"Washington, DC",Georgetown
http://www.redfin.com/DC/Washington/2464-Ontario-Rd-NW-20009/unit-4/home/108441866,2464 Ontario Rd NW #4,'200090000,38.9223733&-77.0403517,"Washington, DC",Adams Morgan / Dupont
