SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD1750000,6,5.5,6216,11090,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/6812-31st-St-N-22213/home/114033466,MRIS,AR10016219,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD1090000,4,3.5,3528,6764,1951,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2314-N-Harrison-St-22205/home/11236467,MRIS,AR10020918,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-11-2017,propertytype:Single Family Residential,USD795000,4,2.0,1762,6350,1958,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/6204-22nd-Rd-N-22205/home/11238877,MRIS,AR10035931,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-22-2017,propertytype:Townhouse,USD300000,3,1.0,962,NA,1947,651,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2815-16th-Rd-S-22204/unit-2815B/home/114093517,MRIS,AR9966374,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD1908261,6,6.5,6492,12457,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2424-N-Potomac-St-22207/home/11225957,MRIS,AR9857684,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD970000,5,3.0,2725,10641,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3723-16th-St-S-22204/home/11263820,MRIS,AR9851519,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD975000,5,4.0,3689,16406,1966,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3625-N-Lancaster-St-22207/home/11228329,MRIS,AR9939079,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD876000,4,3.0,2080,10800,1937,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/824-S-Courthouse-Rd-22204/home/11263375,MRIS,AR9987683,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-26-2017,propertytype:Condo/Co-op,USD825000,3,2.0,1404,NA,1998,643,Sold,NA,NA,http://www.redfin.com/VA/Arlington/901-N-Monroe-St-22201/unit-1001/home/11278114,MRIS,AR10020454,N,Y,"Wednesday- Sep 20, 2017"
PAST SALE,September-28-2017,propertytype:Single Family Residential,USD659000,3,2.0,1700,6366,1947,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/879-N-Lebanon-St-22205/home/11240972,MRIS,AR10043334,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,,propertytype:Single Family Residential,USD750000,4,2.0,2430,7693,1923,NA,,NA,NA,http://www.redfin.com/VA/Arlington/1901-N-Oakland-St-22207/home/11234080,,,N,Y,NA
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD676000,3,2.0,1315,4578,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/800-S-Ivy-St-22204/home/11263068,MRIS,AR10049239,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD1414000,5,4.5,5630,10260,1979,5,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4048-N-Aberdeen-St-22207/home/11230528,MRIS,AR9864726,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD860000,5,3.0,2357,8092,1958,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/6219-22nd-Rd-N-22205/home/11238872,MRIS,AR10039167,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD660000,3,2.5,2632,12095,1953,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/5138-16th-St-N-22205/home/11237039,MRIS,AR9782652,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD1675000,6,4.5,5108,14585,2009,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/6614-32nd-St-N-22213/home/11224748,MRIS,AR9985272,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD901000,5,3.0,2288,9640,1951,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2807-John-Marshall-Dr-22207/home/11225202,MRIS,AR10027517,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-19-2017,propertytype:Single Family Residential,USD1050000,4,3.5,1897,5053,1924,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1916-N-Wayne-St-22201/home/11246854,MRIS,AR10029707,N,Y,"Wednesday- Sep 06, 2017"
PAST SALE,September-26-2017,propertytype:Townhouse,USD585000,3,3.5,1790,NA,1982,422,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2500-S-Arlington-Mill-Dr-22206/unit-3/home/143715873,MRIS,AR10050763,N,Y,"Wednesday- Sep 20, 2017"
PAST SALE,September-27-2017,propertytype:Single Family Residential,USD685000,3,1.0,1440,7121,1941,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/21-N-Greenbrier-St-22203/home/11243572,MRIS,AR10005815,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD1177985,5,4.5,4056,6367,2017,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3008-12th-St-S-22204/home/11273772,MRIS,AR9986091,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-29-2017,propertytype:Townhouse,USD460000,3,2.5,1356,NA,1966,552,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4145-S-Four-Mile-Run-Dr-22204/unit-B/home/16897058,MRIS,AR9986614,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD870000,3,3.5,2578,10120,1952,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/5520-18th-Rd-N-22205/home/11236874,MRIS,AR10005875,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD975000,4,3.5,2748,5272,2009,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/5716-5th-St-N-22205/home/22101707,MRIS,AR10005656,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD775000,3,2.5,1550,7840,1947,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/5919-10th-Rd-N-22205/home/11240896,MRIS,AR10009630,N,Y,"Friday- Aug 11, 2017"
