"SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL","SOURCE","MLS.","FAVORITE","INTERESTED","LIST.DATE","ADDRESS","ZIP_CODE","LAT_LON","CITY_STATE","LOCATION","CITY","STATE","LATITUDE","LONGITUDE"
"PAST SALE","September-29-2017","Condo/Co-op",280000,2,1,1055,1055,1964,584,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1830-Columbia-Pike-22204/unit-205/home/11272669","MRIS","AR9928984","N","Y","Tuesday- Sep 26, 2017","1830 Columbia Pike #205","'222040000","38.8649114&-77.0760334","Arlington, va","Lancaster Condominiums","Arlington","VA","38.8649114","-77.0760334"
"PAST SALE","September-6-2017","Condo/Co-op",405000,2,2,1030,1030,1966,392,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4139-S-Four-Mile-Run-Dr-22204/unit-204/home/21971541","MRIS","AR10019137","N","Y","Friday- Aug 11, 2017","4139 Four Mile Run Dr S #204","'222040000","38.85081965&-77.09750803","Arlington, va","West Village At Shirlington","Arlington","VA","38.85081965","-77.09750803"
"PAST SALE","September-19-2017","Condo/Co-op",510000,2,2,1209,1209,2006,551,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-432W/home/12042691","MRIS","AR9926090","N","Y","Wednesday- Sep 06, 2017","3600 S Glebe Rd Unit 432W","'222020000","38.8422316&-77.0516627","Arlington, va","Eclipse On Center","Arlington","VA","38.8422316","-77.0516627"
"PAST SALE","September-29-2017","Condo/Co-op",395000,2,2,1135,1135,1966,445,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/4141-S-Four-Mile-Run-Dr-22204/unit-103/home/23385384","MRIS","AR10037560","N","Y","Tuesday- Sep 26, 2017","4141 Four Mile Run Dr #103","'222040000","38.8504067&-77.097965","Arlington, va","West Village Of Shirlington","Arlington","VA","38.8504067","-77.097965"
"PAST SALE","September-25-2017","Condo/Co-op",339900,2,1,930,930,1983,345,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2909-S-Woodley-St-22206/unit-116-13/home/11267504","MRIS","AR10037567","N","Y","Monday- Sep 18, 2017","2909-F Woodley St S Unit 116-13","'222060000","38.8414273&-77.0960413","Arlington, va","Courtbridge I&ii","Arlington","VA","38.8414273","-77.0960413"
"PAST SALE","September-12-2017","Condo/Co-op",415000,2,2.5,1606,1606,1976,911,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1101-S-Arlington-Ridge-Rd-22202/unit-106/home/11274704","MRIS","AR9812459","N","Y","Wednesday- Aug 23, 2017","1101 Arlington Ridge Rd #106","'222020000","38.8635823&-77.0657803","Arlington, va","The Representative","Arlington","VA","38.8635823","-77.0657803"
"PAST SALE","September-7-2017","Condo/Co-op",319000,2,1,800,800,1950,300,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/2831-S-Wakefield-St-22206/unit-D/home/11267147","MRIS","AR10012918","N","Y","Sunday- Aug 13, 2017","2831 S Wakefield St Unit D","'222060000","38.8430515&-77.0965773","Arlington, va","The Arlington","Arlington","VA","38.8430515","-77.0965773"
"PAST SALE","September-8-2017","Condo/Co-op",505000,2,2,1164,1164,2006,505,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-317W/home/12042626","MRIS","AR9932245","N","Y","Tuesday- Aug 15, 2017","3600 Glebe Rd S Unit 317W","'222020000","38.8422316&-77.0516627","Arlington, va","Eclipse On Center Park","Arlington","VA","38.8422316","-77.0516627"
"PAST SALE","September-15-2017","Condo/Co-op",357500,2,2,1253,1253,1965,754,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-509/home/11275106","MRIS","AR9992144","N","Y","Tuesday- Aug 29, 2017","1300 Army Navy Dr #509","'222020000","38.8635617&-77.0669817","Arlington, va","Horizon House","Arlington","VA","38.8635617","-77.0669817"
"PAST SALE","September-15-2017","Condo/Co-op",570000,2,2,1009,1009,1998,552,"Sold",NA,NA,"http://www.redfin.com/VA/Arlington/901-N-Monroe-St-22201/unit-1008/home/11278119","MRIS","AR10004072","N","Y","Tuesday- Aug 29, 2017","901 Monroe St N #1008","'222010000","38.8831242&-77.1026914","Arlington, va","Virginia Square","Arlington","VA","38.8831242","-77.1026914"
