"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","URL","SOURCE","MLS.","FAVORITE","INTERESTED","LIST.DATE","ADDRESS","ZIP_CODE","LAT_LON","CITY_STATE","LOCATION","CITY","STATE","LATITUDE","LONGITUDE","PROPERTY.SIZE","metro_distance","days_on_market"
"364","PAST SALE",2017-09-29,"Townhouse",1140000,3,2.5,3050,1166,1999,321,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/5346-43rd-St-NW-20015/home/9957243","MRIS","DC9982257","N","Y",2017-09-26,"5346 43rd St NW",20015,"38.960439&-77.083909","Washington, DC","Chevy Chase","Washington","DC",38.960439,-77.083909,1166,0.10119359280076,3
"365","PAST SALE",2017-09-02,"Single Family Residential",1102000,8,6,4242,25521,1983,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/6409-Wiscasset-Rd-20816/home/10649221","MRIS","MC9912542","N","Y",2017-08-03,"6409 Wiscasset Rd",20816,"38.9669218&-77.1302962","Bethesda, MD","Glen Echo Heights","Bethesda","MD",38.9669218,-77.1302962,25521,2.21204661893796,30
"366","PAST SALE",2017-09-15,"Single Family Residential",1193000,4,4,2500,23796,1938,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/6520-Hillmead-Rd-20817/home/10661807","MRIS","MC9947385","N","Y",2017-08-29,"6520 Hillmead Rd",20817,"39.0006098&-77.133608","Bethesda, MD","Bradley Hills Grove","Bethesda","MD",39.0006098,-77.133608,23796,1.96886836854929,17
"367","PAST SALE",2017-09-18,"Single Family Residential",840000,4,3,2733,13011,1963,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/9815-Inglemere-Dr-20817/home/10672074","MRIS","MC10020891","N","Y",2017-09-04,"9815 Inglemere Dr",20817,"39.0176&-77.135354","Bethesda, MD","Fernwood","Bethesda","MD",39.0176,-77.135354,13011,1.7642291768875,14
"368","PAST SALE",2017-09-26,"Single Family Residential",835000,4,3,3120,9443,1957,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/6821-Algonquin-Ave-20817/home/10674061","MRIS","MC10010404","N","Y",2017-09-20,"6821 Algonquin Ave",20817,"38.986509&-77.1379277","Bethesda, MD","Cohasset","Bethesda","MD",38.986509,-77.1379277,9443,2.26744154954168,6
"369","PAST SALE",2017-09-18,"Single Family Residential",895000,3,3,1691,16614,1954,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/5906-Wilson-Ln-20817/home/10672780","MRIS","MC10036404","N","Y",2017-09-04,"5906 Wilson Ln",20817,"38.9892305&-77.1206703","Bethesda, MD","Pineview","Bethesda","MD",38.9892305,-77.1206703,16614,1.3760873947776,14
"370","PAST SALE",2017-09-28,"Single Family Residential",1400000,4,5.5,7150,30443,1939,NA,"Sold",NA,NA,"http://www.redfin.com/MD/Bethesda/6730-Greentree-Rd-20817/home/10661797","MRIS","MC9767111","N","Y",2017-09-24,"6730 Greentree Rd",20817,"39.0073357&-77.1365864","Bethesda, MD","Bradley Hills Grove","Bethesda","MD",39.0073357,-77.1365864,30443,2.1604161111668,4
"371","PAST SALE",2017-09-15,"Condo/Co-op",679000,2,2,1027,1027,2005,681,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-410/home/10347289","MRIS","DC10034164","N","Y",2017-08-29,"2020 12th St NW #410",20009,"38.9176592&-77.028445","Washington, DC","Old City #2","Washington","DC",38.9176592,-77.028445,1027,0.0544074593119327,17
"372","PAST SALE",2017-09-28,"Condo/Co-op",315000,1,1,448,448,1910,241,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2611-Adams-Mill-Rd-NW-20009/unit-307/home/10006713","MRIS","DC10034549","N","Y",2017-09-24,"2611 Adams Mill Rd NW #307",20009,"38.923836&-77.0438469","Washington, DC","Mount Pleasant","Washington","DC",38.923836,-77.0438469,448,0.532640685593682,4
"373","PAST SALE",2017-09-25,"Condo/Co-op",815000,2,2,1044,1044,1991,212,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1501-Swann-St-NW-20009/unit-B/home/9868152","MRIS","DC10039223","N","Y",2017-09-18,"1501 Swann St NW Unit B",20009,"38.9149588&-77.0351675","Washington, DC","Dupont","Washington","DC",38.9149588,-77.0351675,1044,0.361898047441336,7
"374","PAST SALE",2017-09-15,"Condo/Co-op",515000,1,1,880,880,2006,448,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/929-Florida-Ave-NW-20001/unit-4001/home/21644110","MRIS","DC10003252","N","Y",2017-08-29,"929 Florida Ave NW #4001",20001,"38.918672&-77.0242293","Washington, DC","Columbia Heights/u St","Washington","DC",38.918672,-77.0242293,880,0.280450831412675,17
"375","PAST SALE",2017-09-25,"Condo/Co-op",450000,1,1,714,714,1900,285,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2902-Porter-St-NW-20008/unit-51/home/10190691","MRIS","DC10033826","N","Y",2017-09-18,"2902 Porter St NW #51",20008,"38.9365947&-77.0595632","Washington, DC","Cleveland Park","Washington","DC",38.9365947,-77.0595632,714,0.0568816504900728,7
"376","PAST SALE",2017-09-11,"Condo/Co-op",597500,1,2,852,852,2006,450,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1451-Belmont-St-NW-20009/unit-000305/home/11747756","MRIS","DC9997111","N","Y",2017-08-21,"1451 Belmont St NW #305",20009,"38.9207268&-77.0339589","Washington, DC","Columbia Heights","Washington","DC",38.9207268,-77.0339589,852,0.372911972341862,21
"377","PAST SALE",2017-09-15,"Condo/Co-op",366500,0,1,552,552,2003,299,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-915/home/21648156","MRIS","DC10022935","N","Y",2017-08-29,"1441 Rhode Island Ave NW #915",20005,"38.9085968&-77.0337574","Washington, DC","Old City #2","Washington","DC",38.9085968,-77.0337574,552,0.490263447554004,17
"378","PAST SALE",2017-09-07,"Condo/Co-op",950000,2,2.5,2036,2036,1985,1524,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1015-33rd-St-NW-20007/unit-707/home/9923051","MRIS","DC9881628","N","Y",2017-08-13,"1015 33rd St NW #707",20007,"38.9038172&-77.0656245","Washington, DC","Georgetown","Washington","DC",38.9038172,-77.0656245,2036,0.590730438857716,25
"379","PAST SALE",2017-09-08,"Townhouse",919900,2,2,1365,1365,2016,175,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2464-Ontario-Rd-NW-20009/unit-4/home/108441866","MRIS","DC9972309","N","Y",2017-08-15,"2464 Ontario Rd NW #4",20009,"38.9223733&-77.0403517","Washington, DC","Adams Morgan / Dupont","Washington","DC",38.9223733,-77.0403517,1365,0.58716150384238,24
"380","PAST SALE",NA,"Condo/Co-op",213600,1,1,540,540,2016,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1011-M-St-NW-20001/unit-205/home/113745561",NA,NA,"N","Y",NA,"1011 M St NW Unit 205",20001,"38.905853&-77.0263797","Washington, DC",NA,"Washington","DC",38.905853,-77.0263797,540,0.239926851620055,NA
"381","PAST SALE",2017-09-08,"Condo/Co-op",709500,2,2,1610,1610,1925,275,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/440-M-St-NW-20001/unit-1/home/9884484","MRIS","DC9952923","N","Y",2017-08-15,"440 M St NW #1",20001,"38.9054193&-77.0179789","Washington, DC","Old City #2","Washington","DC",38.9054193,-77.0179789,1610,0.213260667587581,24
"382","PAST SALE",NA,"Condo/Co-op",520000,1,2,957,957,2003,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1425-Euclid-St-NW-20009/unit-2/home/21647650",NA,NA,"N","Y",NA,"1425 Euclid St NW Apt 2",20009,"38.9238171&-77.0330915","Washington, DC",NA,"Washington","DC",38.9238171,-77.0330915,957,0.331191624633077,NA
"383","PAST SALE",NA,"Condo/Co-op",506000,2,3,1910,1910,2002,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/2328-Champlain-St-NW-20009/unit-417/home/10187779",NA,NA,"N","Y",NA,"2328 Champlain St NW Apt 417",20009,"38.9206586&-77.0413024","Washington, DC",NA,"Washington","DC",38.9206586,-77.0413024,1910,0.693152222460797,NA
"384","PAST SALE",2017-09-09,"Condo/Co-op",195000,0,1,322,322,1974,298,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2141-I-St-NW-20037/unit-407/home/9054506","MRIS","DC10039702","N","Y",2017-08-17,"2141 I St NW #407",20037,"38.9010038&-77.048227","Washington, DC","Foggy Bottom","Washington","DC",38.9010038,-77.048227,322,0.124136506181783,23
"385","PAST SALE",2017-09-05,"Condo/Co-op",619900,2,2,1080,1080,1949,768,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1312-Massachusetts-Ave-NW-20005/unit-601/home/9873300","MRIS","DC9949603","N","Y",2017-08-09,"1312 Massachusetts Ave NW #601",20005,"38.9048619&-77.0303387","Washington, DC","Central","Washington","DC",38.9048619,-77.0303387,1080,0.283891262070266,27
"386","PAST SALE",2017-09-11,"Townhouse",766000,2,2,1400,1440,1900,NA,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1548-3rd-St-NW-20001/home/9884704","MRIS","DC10020578","N","Y",2017-08-21,"1548 3rd St NW",20001,"38.9108328&-77.0154703","Washington, DC","Old City #2","Washington","DC",38.9108328,-77.0154703,1440,0.408765363478955,21
"387","PAST SALE",2017-09-08,"Condo/Co-op",399999,2,1,992,992,1967,905,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/700-7th-St-SW-20024/unit-533/home/9880692","MRIS","DC10036558","N","Y",2017-08-15,"700 7th St SW #533",20024,"38.8802668&-77.0215354","Washington, DC","Rla (sw)","Washington","DC",38.8802668,-77.0215354,992,0.368669944015589,24
"388","PAST SALE",2017-09-05,"Condo/Co-op",1160000,2,2.5,1412,1412,2008,880,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/1515-15th-St-NW-20005/unit-419/home/21645323","MRIS","DC10029571","N","Y",2017-08-09,"1515 15th St NW #419",20005,"38.909944&-77.0341615","Washington, DC","Logan Circle","Washington","DC",38.909944,-77.0341615,1412,0.559517127854833,27
"389","PAST SALE",2017-09-12,"Condo/Co-op",780000,2,2.5,1667,1667,2006,816,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2501-Wisconsin-Ave-NW-20007/unit-7/home/11747359","MRIS","DC10025227","N","Y",2017-08-23,"2501 Wisconsin Ave NW #7",20007,"38.922841&-77.0725987","Washington, DC","Observatory Circle","Washington","DC",38.922841,-77.0725987,1667,1.05711685627079,20
"390","PAST SALE",NA,"Condo/Co-op",594500,1,1,730,730,1917,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1801-16th-St-NW-20009/unit-209/home/96401468",NA,NA,"N","Y",NA,"1801 16th St NW Apt 209",20009,"38.9143561&-77.0363653","Washington, DC",NA,"Washington","DC",38.9143561,-77.0363653,730,0.437689774287637,NA
"391","PAST SALE",2017-09-05,"Condo/Co-op",314000,1,1,750,750,1949,458,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/3025-Ontario-Rd-NW-20009/unit-105/home/119139131","MRIS","DC9967169","N","Y",2017-08-09,"3025 Ontario Rd NW #105",20009,"38.9260638&-77.0439265","Washington, DC","Lanier Heights/adams Morgan","Washington","DC",38.9260638,-77.0439265,750,0.507965889819181,27
"392","PAST SALE",2017-09-08,"Condo/Co-op",585000,2,1,900,900,2008,541,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/475-K-St-NW-20001/unit-319/home/21645387","MRIS","DC10017684","N","Y",2017-08-15,"475 K St NW #319",20001,"38.9031638&-77.0182534","Washington, DC","Old City #2","Washington","DC",38.9031638,-77.0182534,900,0.261281162991075,24
"393","PAST SALE",2017-09-07,"Condo/Co-op",365000,1,1,650,650,1929,481,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/2440-16th-St-NW-20009/unit-412/home/10005795","MRIS","DC10029347","N","Y",2017-08-13,"2440 16th St NW #412",20009,"38.92196&-77.0371949","Washington, DC","Mount Pleasant","Washington","DC",38.92196,-77.0371949,650,0.51340713371567,25
"394","PAST SALE",NA,"Condo/Co-op",517000,1,1,821,821,2009,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/1025-First-St-SE-20003/unit-904/home/39900708",NA,NA,"N","Y",NA,"1025 First St SE Apt 904",20003,"38.8777481&-77.0063567","Washington, DC",NA,"Washington","DC",38.8777481,-77.0063567,821,0.180322683816251,NA
"395","PAST SALE",2017-09-13,"Condo/Co-op",321500,0,1,385,385,2006,199,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/929-Florida-Ave-NW-20001/unit-4006/home/22057665","MRIS","DC10004936","N","Y",2017-08-25,"929 Florida Ave NW #4006",20001,"38.918672&-77.0242293","Washington, DC","Shaw","Washington","DC",38.918672,-77.0242293,385,0.280450831412675,19
"396","PAST SALE",NA,"Condo/Co-op",264900,1,1,463,463,1959,NA,NA,NA,NA,"http://www.redfin.com/DC/Washington/4840-MacArthur-Blvd-NW-20007/unit-606/home/12531173",NA,NA,"N","Y",NA,"4840 MacArthur Blvd NW Apt 606",20007,"38.9170973&-77.0968538","Washington, DC",NA,"Washington","DC",38.9170973,-77.0968538,463,1.88180124430468,NA
"397","PAST SALE",2017-09-11,"Condo/Co-op",476000,1,1,731,731,2008,520,"Sold",NA,NA,"http://www.redfin.com/DC/Washington/437-New-York-Ave-NW-20001/unit-405/home/22049216","MRIS","DC9951605","N","Y",2017-08-21,"437 New York Ave NW #405",20001,"38.9050314&-77.0168353","Washington, DC","Old City #2","Washington","DC",38.9050314,-77.0168353,731,0.277418706770774,21
