"OPE ID","School","State","Zip Code","School.Type","Recipients","Disbursements","Year","dpr"
"373800","Southern Virginia University","VA","244163038","Private",30,47323,2016,1577.43333333333
"866100","Southside Virginia Community College","VA","238212930","Public",67,155351,2016,2318.67164179104
"726000","Southwest Virginia Community College","VA","246099998","Public",127,211208,2016,1663.05511811024
"374200","Sweet Briar College","VA","245959998","Private",65,76783,2016,1181.27692307692
"687100","Thomas Nelson Community College","VA","236661433","Public",50,174804,2016,3496.08
"371200","Tidewater Community College","VA","235101910","Public",217,660416,2016,3043.39170506912
"374600","University of Mary Washington","VA","224015358","Public",56,82766,2016,1477.96428571429
"374400","University of Richmond","VA","231730001","Private",333,350997,2016,1054.04504504505
"374500","University of Virginia","VA","229032600","Public",642,1360461,2016,2119.09813084112
"374700","University of Virginia's College at Wise (The)","VA","242934412","Public",162,214681,2016,1325.19135802469
"373500","Virginia Commonwealth University","VA","232849004","Public",774,1325487,2016,1712.51550387597
"709900","Virginia Highlands Community College","VA","242100000","Public",135,307573,2016,2278.31851851852
"375400","Virginia Polytechnic Institute & State University","VA","240612000","Public",813,1170347,2016,1439.54120541205
"376400","Virginia State University","VA","238060001","Public",340,510546,2016,1501.60588235294
"376600","Virginia Union University","VA","232201711","Private",298,514333,2016,1725.94966442953
"376200","Virginia University of Lynchburg","VA","245016400","Private",22,22157,2016,1007.13636363636
"376700","Virginia Wesleyan College","VA","235025599","Private",190,183582,2016,966.221052631579
"376000","Virginia Western Community College","VA","240154700","Public",75,162790,2016,2170.53333333333
"376800","Washington and Lee University","VA","244500303","Private",224,313855,2016,1401.13839285714
"376100","Wytheville Community College","VA","243823308","Public",54,190486,2016,3527.51851851852
