EDUC,INCTOT,INCWAGE
0,20135.4387351779,12100.0197628459
1,26307.9710144928,12480.6763285024
2,18411.0490307868,8821.09464082098
3,13123.6643233743,7315.57117750439
4,12167.845410628,6041.39130434783
5,10638.0823937554,5969.76582827407
6,27628.247263208,17937.3108043789
7,31672.8522771506,22581.6368236668
8,39224.69751693,30041.9601203913
10,61134.4850771295,46661.9533869886
11,92364.8745549165,68701.0188989318
