SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD720000,3,2.5,2172,9005,1962,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/9719-Corkran-Ln-20817/home/10676141,MRIS,MC10034316,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-27-2017,propertytype:Townhouse,USD1050000,4,4.0,3150,1947,2001,190,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/8641-Terrace-Garden-Way-20814/home/10701751,MRIS,MC9895205,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD1385000,5,3.5,4360,13251,1959,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/5300-Burling-Ter-20814/home/10639182,MRIS,MC9973925,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD880000,4,2.5,2907,20768,1970,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/9000-Honeybee-Ln-20817/home/10890095,MRIS,MC9944131,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD689900,3,2.5,1912,9751,1962,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/6812-Renita-Ln-20817/home/10675994,MRIS,MC9990536,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-11-2017,propertytype:Single Family Residential,USD985000,3,3.5,2700,6000,1918,NA,Sold,NA,NA,http://www.redfin.com/MD/Glen-Echo/6005-Princeton-Ave-20812/home/10649272,MRIS,MC10014427,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD810000,4,2.5,2568,12329,1968,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/8100-Lilly-Stone-Dr-20817/home/10889503,MRIS,MC10019143,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-13-2017,propertytype:Single Family Residential,USD1200000,5,4.0,5028,6676,1936,NA,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/6205-Verne-St-20817/home/10676428,MRIS,MC9972686,N,Y,"Friday- Aug 25, 2017"
PAST SALE,,propertytype:Single Family Residential,USD835000,NA,3.0,2102,17864,1964,NA,,NA,NA,http://www.redfin.com/MD/Bethesda/9001-Seven-Locks-Rd-20817/home/10887561,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD960000,NA,3.5,3264,15000,1977,NA,,NA,NA,http://www.redfin.com/MD/Bethesda/8904-Seven-Locks-Rd-20817/home/10889724,,,N,Y,NA
PAST SALE,September-13-2017,propertytype:Townhouse,USD975000,4,3.5,3487,4810,1983,200,Sold,NA,NA,http://www.redfin.com/MD/Bethesda/6106-Davenport-Ter-20817/home/10691760,MRIS,MC10019148,N,Y,"Friday- Aug 25, 2017"
