SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD520000,5,3.0,2470,10041,1936,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10216-Lorain-Ave-20901/home/10965324,MRIS,MC10050046,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,,propertytype:Single Family Residential,USD442500,NA,2.0,1512,10341,1923,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/9405-Colesville-Rd-20901/home/10966150,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD692500,NA,3.5,2298,7875,1990,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/10013-Leafy-Ave-20910/home/10955126,,,N,Y,NA
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD455000,5,3.5,3000,9647,1963,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/11511-Bucknell-Dr-20902/home/11069838,MRIS,MC9957793,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-13-2017,propertytype:Single Family Residential,USD425000,3,2.0,1224,6475,1942,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/9129-Sudbury-Rd-20901/home/10959591,MRIS,MC10049139,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD435000,3,3.0,1584,6008,1961,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/406-Irwin-St-20901/home/10965503,MRIS,MC9984156,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD465000,3,2.5,1640,11624,1951,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/305-Hamilton-Ave-20901/home/10966323,MRIS,MC9997632,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD526000,4,3.0,2221,8161,1962,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10713-Glenhaven-Dr-20902/home/11060207,MRIS,MC10027750,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-20-2017,propertytype:Single Family Residential,USD690000,5,3.5,3100,12566,1989,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/3817-Woodridge-Ave-20902/home/11137551,MRIS,MC10013841,N,Y,"Friday- Sep 08, 2017"
PAST SALE,September-20-2017,propertytype:Single Family Residential,USD517500,5,3.0,2748,5486,1955,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10015-Renfrew-Rd-20901/home/11008539,MRIS,MC10027623,N,Y,"Friday- Sep 08, 2017"
PAST SALE,September-20-2017,propertytype:Single Family Residential,USD784000,4,3.5,2900,12072,2017,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1910-Plyers-Mill-Rd-20902/home/112851168,MRIS,MC9834515,N,Y,"Friday- Sep 08, 2017"
PAST SALE,September-22-2017,propertytype:Townhouse,USD400000,3,3.5,2376,1652,1982,100,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10902-Pebble-Run-Dr-20902/home/11111232,MRIS,MC9983874,N,Y,"Tuesday- Sep 12, 2017"
